id,name,batch,gotJob,salary,email,state,dob,gender,countryOfOrigin,rating,skills
1,arif,B-16,true,120000,arif@gmail.com,NY,17=06=1987,M,Bangladesh,4.1,Spark:Kafka:NiFi:Aws
2,idul,B-16,Dropout,0,idul@yahoo.com,NY,18=06=1992,M,Bangladesh,4.7,Kafka:Python:Sqoop:Docker
3,Fabiha,B-16,true,110000,fabiha@aol.com,TX,19=06=1998,F,Bangladesh,3.8,Airflow:Confluent Kafka:Azure:Spark
4,Nimia,B-16,Dropout,0,nimia@gmail.com,NY,20=06=1999,F,Bangladesh,3.6,Hadoop:Hive:Google Cloud:Python
5,Shakil,B-16,true,100000,shakil@yahoo.com,NJ,21=06=1997,M,Bangladesh,3.5,Java:Spark:Kafka:Scala:Github
6,Md.Haque,B-16,Dropout,0,haque@yahoo.com,CT,22=06=1991,M,Bangladesh,3.7,Spark:Airflow:Aws:Kafka:Zeppelin
7,Hasan,B-16,true,130000,hasan@aol.com,NY,23=06=1983,M,Bangladesh,4.6,Databricks:NiFi:Java:Python:Hive
8,Taifa,B-16,true,120000,taifa@gmail.com,CT,24=06=1986,F,Bangladesh,3.7,Spark:Airflow:Aws:Kafka:Zeppelin
9,Lucky,B-16,Dropout,0,lucky@gmail.com,NY,25=06=1980,F,Bangladesh,2.7,Airflow:Confluent Kafka:Azure:Spark
10,Akbar,B-16,true,120000,akbar@yahoo.com,VI,26=06=1987,M,Bangladesh,4.2,Spark:Kafka:NiFi:Aws
11,Hira,B-16,Dropout,0,hira@gmail.com,NY,27=06=1984,M,Bangladesh,4.5,Kafka:Python:Sqoop:Docker
12,Parvez,B-16,Dropout,0,parvez@aol.com,NY,28=06=1987,M,Bangladesh,2.5,Airflow:Confluent Kafka:Azure:Spark
13,NurunNahar,B-16,Dropout,0,nurun@gmail.com,NY,29=06=1989,F,Bangladesh,2.9,Hadoop:Hive:Google Cloud:Python
14,Adnan,B-17,Dropout,0,adnan@yandex.com,FL,30=06=1985,M,Bangladesh,4.4,Java:Spark:Kafka:Scala:Github
16,Raj,B-17,true,120000,raj@yahoo.com,TX,02=07=1987,M,Nepal,4.9,Databricks:NiFi:Java:Python:Hive
17,Suresh,B-17,Dropout,0,suresh@gmail.com,TX,03=07=1988,M,Nepal,3.7,Airflow:Confluent Kafka:Azure:Spark
18,Sadat,B-17,Dropout,0,sadat@aol.com,FL,04=07=1984,M,Bangladesh,3.5,Spark:Kafka:NiFi:Aws
19,Masnoon,B-17,Dropout,0,masnoon@gmail.com,NJ,05=07=1981,M,Bangladesh,3.6,Kafka:Python:Sqoop:Docker
20,Ahad,B-17,true,1400000,ahad@yahoo.com,NY,06=07=1997,M,Bangladesh,3.3,Airflow:Confluent Kafka:Azure:Spark
21,Faruk,B-17,Dropout,0,faruk@gmail.com,NY,07=07=1983,M,Bangladesh,3.4,Java:Spark:Kafka:Scala:Github
